date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
20150101,9.245,9.245,7.59390499,6.957,7.357074758,7.587,7.986478391,8.26,8.342439406,8.406,8.406,8.406,8.737233611,9.008,9.231001401,9.42,9.252423446,9.102,9.185195527,9.259,9.399056648,9.524,9.384348274,9.255,9.255,9.255,9.304969776,9.351,9.393553648,9.433,9.313854923,9.201,9.222680135,9.243,9.253299516,9.263,9.160767623,9.063,9.063,9.063,9.076847533,9.09,9.102806197,9.115,9.028468107,8.945,8.952666184,8.96,8.974302582,8.988,8.921936684,8.858,8.858,8.858,8.872780362,8.887,8.900751306,8.914,8.852158391,8.792,8.792,,,,,,,,,,
20150102,0,6.826,6.826,6.826,8.403251104,9.221,9.733719728,10.084,9.545675123,9.105,9.153504695,9.193,9.266369145,9.328,9.153220758,8.999,8.999,8.999,9.131797371,9.249,9.354533179,9.449,9.300082151,9.162,9.202707496,9.24,9.311909112,9.378,9.297027421,9.221,9.221,9.221,9.281512305,9.338,9.343148396,9.348,9.234075455,9.125,9.130132947,9.135,9.145255464,9.155,9.068881548,8.986,8.986,8.986,8.998780417,9.011,9.022746909,9.034,8.958319663,8.885,8.89213737,8.899,8.911740245,8.924,8.866165311,8.81,8.81,8.81,8.823,,,,,,,,,,
20150105,0,10.08,10.88391431,11.139,10.30411791,9.769,9.769,9.769,9.762814025,9.758,9.756900051,9.756,9.403727588,9.095,9.224348022,9.335,9.542006917,9.721,9.652607069,9.591,9.591,9.591,9.648130885,9.7,9.748025014,9.792,9.647629729,9.512,9.536887303,9.56,9.604529484,9.646,9.531667165,9.423,9.423,9.423,9.444606662,9.465,9.484519018,9.503,9.406104454,9.313,9.323755909,9.334,9.354475915,9.374,9.303248612,9.235,9.235,9.235,9.2554216,9.275,9.294384798,9.313,9.245001959,9.179,9.188674552,9.198,9.216837527,9.235,9.241,,,,,,,,,,
20150106,0,11.323,11.31100212,11.307,10.17569326,9.432,9.608729291,9.733,9.693126492,9.662,9.257022686,8.912,8.912,8.912,9.084830433,9.232,9.474267242,9.683,9.55030746,9.43,9.522276021,9.605,9.654775697,9.7,9.570092329,9.449,9.449,9.449,9.495713635,9.539,9.566938058,9.593,9.465427393,9.344,9.353269032,9.362,9.379487616,9.396,9.304066581,9.216,9.216,9.216,9.235471914,9.254,9.271401941,9.288,9.206101794,9.127,9.136191931,9.145,9.162866705,9.18,9.119549802,9.061,9.061,9.061,9.078829361,9.096,9.109233411,9.122,8.994,,,,,,,,,,
20150107,0,11.189,9.951315843,9.503,9.503,9.503,10.02391243,10.38,10.37887505,10.378,9.932204438,9.552,9.587806397,9.618,9.76845533,9.897,9.83079165,9.772,9.772,9.772,9.935423339,10.081,10.13864887,10.191,10.02971116,9.879,9.90863708,9.936,9.98843107,10.037,9.905559459,9.781,9.781,9.781,9.800577225,9.819,9.836486901,9.853,9.745294363,9.642,9.652255177,9.662,9.681471014,9.7,9.621557956,9.546,9.546,9.546,9.565414695,9.584,9.602376864,9.62,9.546380972,9.475,9.484680682,9.494,9.512338454,9.53,9.465112863,9.402,9.402,,,,,,,,,,
20150108,0,14.858,11.08629983,9.502,9.698808799,9.815,10.02065242,10.165,9.975176064,9.825,9.825,9.825,10.07566795,10.283,10.39981311,10.5,10.23274672,9.991,10.02324071,10.052,10.10673344,10.156,9.998759086,9.853,9.853,9.853,9.898789953,9.941,9.980429392,10.017,9.887601964,9.765,9.785645418,9.805,9.824061522,9.842,9.740752717,9.644,9.644,9.644,9.665034227,9.685,9.703958101,9.722,9.632908567,9.547,9.55722262,9.567,9.586926073,9.606,9.539921352,9.476,9.476,9.476,9.495881126,9.515,9.532828558,9.55,9.483596818,9.419,9.419,,,,,,,,,,
20150109,0,7.48,7.48,7.48,8.166507209,8.552,8.804790585,8.981,8.800771284,8.658,8.896510369,9.087,9.43124253,9.713,9.570361935,9.445,9.445,9.445,9.513301315,9.574,9.629795486,9.68,9.505845245,9.344,9.369030686,9.392,9.436230183,9.477,9.370374462,9.27,9.27,9.27,9.311335833,9.35,9.374736577,9.398,9.293217623,9.193,9.206351277,9.219,9.244144946,9.268,9.194567464,9.124,9.124,9.124,9.148553205,9.172,9.194484642,9.216,9.144361661,9.075,9.086728428,9.098,9.11941306,9.14,9.086714117,9.035,9.035,9.035,9.056,,,,,,,,,,
20150112,0,9.791,9.764012444,9.755,8.923432635,8.385,8.385,8.385,9.012583672,9.472,9.835949858,10.124,9.895526742,9.698,9.730188869,9.758,9.811785702,9.859,9.672743992,9.503,9.503,9.503,9.542278079,9.578,9.610864032,9.641,9.492040626,9.352,9.371178952,9.389,9.423157719,9.455,9.353429678,9.257,9.257,9.257,9.283243329,9.308,9.331633588,9.354,9.261171813,9.172,9.18480612,9.197,9.220551398,9.243,9.177324381,9.114,9.114,9.114,9.136977692,9.159,9.180427856,9.201,9.133004935,9.067,9.078203091,9.089,9.109876507,9.13,9.14,,,,,,,,,,
20150113,0,10.65,10.23731102,10.096,9.047798959,8.356,8.492103626,8.588,9.241235229,9.719,9.710752867,9.704,9.704,9.704,9.90284369,10.072,10.13165416,10.184,9.961954141,9.759,9.792652154,9.823,9.863324985,9.9,9.758251743,9.626,9.626,9.626,9.666471431,9.704,9.739711035,9.773,9.642357799,9.518,9.527784144,9.537,9.554487334,9.571,9.477025202,9.387,9.387,9.387,9.406471559,9.425,9.442401659,9.459,9.37557582,9.295,9.304702764,9.314,9.332377352,9.35,9.286002094,9.224,9.224,9.224,9.242338951,9.26,9.27272394,9.285,9.154,,,,,,,,,,
20150114,0,10.818,8.921262747,8.192,8.192,8.192,8.539921545,8.78,9.559279471,10.124,9.934108717,9.776,9.98252691,10.154,10.34025304,10.499,10.25355491,10.032,10.032,10.032,10.07987744,10.123,10.14497624,10.165,9.987311951,9.821,9.836588343,9.851,9.880039625,9.907,9.780672584,9.661,9.661,9.661,9.676452793,9.691,9.704884382,9.718,9.61030238,9.507,9.515716294,9.524,9.540907117,9.557,9.477040861,9.4,9.4,9.4,9.417880835,9.435,9.451333538,9.467,9.391362701,9.318,9.327171007,9.336,9.352809193,9.369,9.30563224,9.244,9.244,,,,,,,,,,
20150115,0,20.393,16.08184729,14.36,14.97937501,15.339,15.96289253,16.394,15.49019783,14.749,14.749,14.749,14.80325052,14.849,14.76776599,14.697,14.19765685,13.742,13.68931325,13.642,13.5519722,13.47,13.14904535,12.849,12.849,12.849,12.82150811,12.796,12.77271622,12.751,12.54948678,12.358,12.35490661,12.352,12.34428169,12.337,12.17868008,12.027,12.027,12.027,12.027,12.027,12.02751192,12.028,11.90537088,11.787,11.7900656,11.793,11.79861586,11.804,11.70293282,11.605,11.605,11.605,11.61366052,11.622,11.63065489,11.639,11.55284709,11.469,11.469,,,,,,,,,,
20150116,0,13.109,13.109,13.109,15.16003829,16.267,17.02296094,17.543,16.34990715,15.358,15.26145118,15.182,15.03957526,14.918,14.31651588,13.774,13.774,13.774,13.65571198,13.549,13.45532192,13.37,13.04039428,12.732,12.69558983,12.662,12.5982845,12.539,12.28972097,12.053,12.053,12.053,12.02055686,11.99,11.9843395,11.979,11.82679901,11.681,11.68253957,11.684,11.68758802,11.691,11.57231228,11.458,11.458,11.458,11.46668793,11.475,11.48316945,11.491,11.38943884,11.291,11.29660711,11.302,11.31371881,11.325,11.24638302,11.17,11.17,11.17,11.182,,,,,,,,,,
20150119,0,16.183,17.76353209,18.26,16.94527193,16.105,16.105,16.105,15.65343376,15.293,15.00381701,14.763,14.11786075,13.548,13.45879342,13.381,13.23509166,13.105,12.68548241,12.298,12.298,12.298,12.20943163,12.128,12.0547683,11.987,11.74581838,11.518,11.49678611,11.477,11.43985658,11.405,11.25080254,11.104,11.104,11.104,11.11325364,11.122,11.13072693,11.139,11.01868146,10.903,10.9096567,10.916,10.92930318,10.942,10.84687019,10.755,10.755,10.755,10.77031044,10.785,10.7992783,10.813,10.73030015,10.65,10.65814586,10.666,10.68126915,10.696,10.696,,,,,,,,,,
20150120,0,15.473,17.78223946,18.488,16.84015008,15.769,16.17151629,16.453,15.98208682,15.606,14.70004183,13.915,13.915,13.915,13.76836167,13.64,13.4951302,13.366,12.97351746,12.612,12.57739318,12.546,12.47041486,12.401,12.11612908,11.848,11.848,11.848,11.81386746,11.782,11.76496156,11.749,11.58256073,11.424,11.42708863,11.43,11.43616824,11.442,11.31592348,11.195,11.195,11.195,11.2062673,11.217,11.22723172,11.237,11.12970632,11.026,11.03314805,11.04,11.05326764,11.066,10.9842468,10.905,10.905,10.905,10.91976855,10.934,10.93603467,10.938,10.764,,,,,,,,,,
20150121,0,25.593,19.60268142,17.147,17.147,17.147,17.58185859,17.886,17.22510743,16.693,15.73580532,14.907,14.78770166,14.686,14.46568786,14.272,13.70578105,13.186,13.186,13.186,13.0751286,12.974,12.86050643,12.756,12.46492525,12.191,12.15625763,12.124,12.06252156,12.005,11.80866781,11.622,11.622,11.622,11.61376746,11.606,11.59932126,11.593,11.45219933,11.317,11.31802504,11.319,11.32053581,11.322,11.20750754,11.097,11.097,11.097,11.10363732,11.11,11.1166319,11.123,11.02961433,10.939,10.94358426,10.948,10.95716441,10.966,10.86423195,10.765,10.765,,,,,,,,,,
20150122,0,17.709,14.34015826,13.025,13.71190265,14.108,14.80776522,15.288,14.15985636,13.216,13.216,13.216,13.08547223,12.974,12.87309509,12.785,12.38705726,12.025,12.00812174,11.993,11.96572818,11.941,11.66082478,11.399,11.399,11.399,11.37876668,11.36,11.343957,11.329,11.15208271,10.984,10.98348439,10.983,10.99020811,10.997,10.87026228,10.749,10.749,10.749,10.76233285,10.775,10.78729239,10.799,10.69162253,10.588,10.59617693,10.604,10.61881198,10.633,10.55322185,10.476,10.476,10.476,10.49230849,10.508,10.52327854,10.538,10.46399594,10.392,10.392,,,,,,,,,,
20150123,0,15.315,15.315,15.315,16.81963986,17.661,18.22237861,18.613,17.2845183,16.176,16.0264255,15.903,15.67582692,15.481,14.81007841,14.203,14.203,14.203,14.0538263,13.919,13.79820721,13.688,13.34503097,13.024,12.98187557,12.943,12.86946479,12.801,12.53846748,12.289,12.289,12.289,12.24884328,12.211,12.20122428,12.192,12.03521428,11.885,11.885,11.885,11.88551251,11.886,11.75919443,11.637,11.637,11.637,11.64364312,11.65,11.65612654,11.662,11.5599267,11.461,11.46609724,11.471,11.48017019,11.489,11.40734645,11.328,11.328,11.328,11.339,,,,,,,,,,
20150126,0,17.913,18.21306949,18.312,16.80082274,15.825,15.825,15.825,15.60348668,15.429,15.29309769,15.181,14.58135836,14.054,13.95732762,13.873,13.7154937,13.575,13.13478029,12.728,12.728,12.728,12.65657135,12.591,12.53279156,12.479,12.23721484,12.009,11.99450816,11.981,11.96963838,11.959,11.80119138,11.651,11.651,11.651,11.66436835,11.677,11.68880828,11.7,11.57153559,11.448,11.45670553,11.465,11.48086273,11.496,11.40135738,11.31,11.31,11.31,11.32786351,11.345,11.36182928,11.378,11.29174574,11.208,11.21767366,11.227,11.24430595,11.261,11.26,,,,,,,,,,
20150127,0,16.831,17.53844372,17.768,16.04792306,14.921,15.22767477,15.443,15.26438282,15.124,14.42245282,13.822,13.822,13.822,13.75304333,13.693,13.56708236,13.455,13.06966664,12.715,12.68772657,12.663,12.61030545,12.562,12.29493189,12.044,12.044,12.044,12.02640486,12.01,12.03327101,12.055,11.89820155,11.749,11.7639354,11.778,11.80526583,11.831,11.71709595,11.608,11.608,11.608,11.63618724,11.663,11.68961981,11.715,11.61376299,11.516,11.52978915,11.543,11.5695492,11.595,11.52184027,11.451,11.451,11.451,11.47647365,11.501,11.51321315,11.525,11.353,,,,,,,,,,
20150128,0,17.258,14.36212651,13.257,13.257,13.257,13.83530369,14.234,14.20365026,14.18,13.56274651,13.036,13.07993727,13.117,13.10521888,13.095,12.6762879,12.295,12.295,12.295,12.2708715,12.249,12.22288915,12.199,11.96162427,11.739,11.73848078,11.738,11.75406378,11.769,11.62926105,11.497,11.497,11.497,11.53153391,11.564,11.5953873,11.625,11.49992833,11.38,11.39641122,11.412,11.44326681,11.473,11.38841594,11.307,11.307,11.307,11.33715295,11.366,11.39408317,11.421,11.33670757,11.255,11.26926795,11.283,11.31000425,11.336,11.2619779,11.19,11.19,,,,,,,,,,
20150129,0,14.816,11.74161338,10.519,11.00784657,11.291,11.78047422,12.118,11.74582853,11.448,11.448,11.448,11.66911997,11.853,11.94059815,12.016,11.68968409,11.394,11.41512858,11.434,11.47185634,11.506,11.31564398,11.139,11.139,11.139,11.18321525,11.224,11.2680979,11.309,11.16469977,11.028,11.05380949,11.078,11.12441447,11.168,11.07178762,10.98,10.98,10.98,11.02312996,11.064,11.10296975,11.14,11.04629201,10.956,10.97542948,10.994,11.03080872,11.066,11.00293461,10.942,10.942,10.942,10.97617148,11.009,11.04059708,11.071,11.00153216,10.934,10.934,,,,,,,,,,
20150130,0,10.353,10.353,10.353,11.81159392,12.606,13.13070042,13.493,12.72553675,12.095,12.12858797,12.156,12.20972464,12.255,11.89972037,11.583,11.583,11.583,11.60148538,11.618,11.63533667,11.651,11.41747248,11.2,11.21094241,11.221,11.241787,11.261,11.12455596,10.996,10.996,10.996,11.05026522,11.101,11.14896453,11.194,11.07487618,10.961,10.98514354,11.008,11.0521586,11.094,11.01950357,10.948,10.948,10.948,10.98842966,11.027,11.06380854,11.099,11.01870309,10.941,10.95885051,10.976,11.01017132,11.043,10.98867484,10.936,10.936,10.936,10.968,,,,,,,,,,
