date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
20150101,8.533,8.533,6.736,6.736,6.736,7.412,7.83,8.115,8.696,8.383,8.383,8.383,8.742,9.034,9.278,9.498,9.207,9.207,9.207,9.386,9.544,9.685,9.762,9.474,9.474,9.474,9.548,9.617,9.68,9.738,9.516,9.516,9.516,9.573,9.596,9.618,9.639,9.432,9.432,9.432,9.456,9.479,9.5,9.521,9.351,9.351,9.351,9.373,9.394,9.415,9.434,9.291,9.291,9.291,9.311,9.331,9.35,9.368,9.244,9.244,9.244,9.263,9.292,9.32,9.347,9.245,9.245,9.245,9.272,9.298,9.323
20150102,0,6.92,6.92,6.92,8.437,9.227,9.719,10.055,9.109,9.109,9.109,9.215,9.303,9.377,9.44,9.09,9.09,9.09,9.247,9.385,9.508,9.618,9.345,9.345,9.345,9.44,9.526,9.606,9.679,9.464,9.464,9.464,9.533,9.598,9.62,9.641,9.428,9.428,9.428,9.453,9.476,9.497,9.518,9.345,9.345,9.345,9.367,9.389,9.409,9.429,9.283,9.283,9.283,9.303,9.323,9.343,9.361,9.235,9.235,9.235,9.254,9.273,9.304,9.335,9.234,9.234,9.234,9.265,9.294,9.322,9.349
20150105,0,9.285,10.522,10.903,11.088,9.633,9.633,9.633,9.663,9.686,9.705,9.72,9.075,9.075,9.075,9.337,9.56,9.752,9.92,9.64,9.64,9.64,9.718,9.788,9.852,9.911,9.641,9.641,9.641,9.7,9.754,9.805,9.835,9.606,9.606,9.606,9.639,9.67,9.699,9.726,9.542,9.542,9.542,9.571,9.598,9.625,9.65,9.495,9.495,9.495,9.521,9.546,9.57,9.593,9.46,9.46,9.46,9.483,9.506,9.528,9.544,9.418,9.418,9.418,9.435,9.452,9.468,9.484,9.376,9.376,9.376
20150106,0,10.57,10.916,11.028,9.242,9.242,9.242,9.555,9.546,9.54,9.534,8.832,8.832,8.832,8.88,9.189,9.452,9.677,9.439,9.439,9.439,9.623,9.701,9.772,9.836,9.562,9.562,9.562,9.626,9.685,9.74,9.768,9.53,9.53,9.53,9.561,9.59,9.617,9.643,9.453,9.453,9.453,9.481,9.507,9.533,9.557,9.398,9.398,9.398,9.423,9.447,9.47,9.492,9.357,9.357,9.357,9.38,9.401,9.423,9.441,9.316,9.316,9.316,9.335,9.353,9.371,9.388,9.281,9.281,9.281,9.299
20150107,0,10.368,11.296,9.247,9.247,9.247,9.791,10.162,10.204,10.237,9.449,9.449,9.449,9.534,9.605,9.859,10.077,9.784,9.784,9.784,9.963,10.123,10.209,10.288,9.999,9.999,9.999,10.075,10.145,10.21,10.24,9.983,9.983,9.983,10.016,10.048,10.078,10.106,9.901,9.901,9.901,9.931,9.96,9.987,10.012,9.843,9.843,9.843,9.87,9.896,9.921,9.944,9.8,9.8,9.8,9.824,9.847,9.87,9.887,9.753,9.753,9.753,9.771,9.789,9.806,9.823,9.708,9.708,9.708,9.725,9.742
20150108,0,14.315,9.249,9.249,9.249,9.59,9.81,9.965,10.342,9.737,9.737,9.737,10.014,10.243,10.435,10.507,10.027,10.027,10.027,10.108,10.18,10.245,10.31,9.99,9.99,9.99,10.055,10.116,10.172,10.224,9.98,9.98,9.98,10.033,10.065,10.096,10.125,9.915,9.915,9.915,9.946,9.975,10.003,10.03,9.856,9.856,9.856,9.884,9.911,9.936,9.96,9.813,9.813,9.813,9.838,9.862,9.885,9.907,9.775,9.775,9.775,9.798,9.811,9.825,9.838,9.717,9.717,9.717,9.731,9.744,9.758
20150109,0,6.98,6.98,6.98,7.765,8.2,8.477,8.67,8.436,8.436,8.436,8.896,9.262,9.561,9.81,9.35,9.35,9.35,9.443,9.525,9.599,9.665,9.363,9.363,9.363,9.435,9.502,9.563,9.62,9.39,9.39,9.39,9.445,9.498,9.539,9.578,9.386,9.386,9.386,9.425,9.463,9.498,9.532,9.372,9.372,9.372,9.406,9.438,9.469,9.498,9.361,9.361,9.361,9.391,9.419,9.446,9.472,9.348,9.348,9.348,9.375,9.4,9.417,9.434,9.32,9.32,9.32,9.338,9.354,9.371,9.386
20150112,0,8.855,9.202,9.314,9.37,8.083,8.083,8.083,8.792,9.307,9.698,10.008,9.598,9.598,9.598,9.68,9.751,9.814,9.869,9.483,9.483,9.483,9.549,9.609,9.664,9.715,9.443,9.443,9.443,9.495,9.543,9.588,9.63,9.415,9.415,9.415,9.454,9.492,9.527,9.56,9.385,9.385,9.385,9.419,9.451,9.481,9.511,9.363,9.363,9.363,9.392,9.421,9.448,9.474,9.341,9.341,9.341,9.368,9.393,9.418,9.432,9.31,9.31,9.31,9.326,9.341,9.356,9.37,9.262,9.262,9.262
20150113,0,9.79,9.728,9.708,8.08,8.08,8.08,8.325,9.07,9.609,10.019,9.63,9.63,9.63,9.923,10.022,10.108,10.184,9.779,9.779,9.779,9.858,9.919,9.974,10.024,9.73,9.73,9.73,9.783,9.832,9.878,9.92,9.684,9.684,9.684,9.721,9.755,9.787,9.818,9.628,9.628,9.628,9.66,9.69,9.719,9.746,9.588,9.588,9.588,9.616,9.642,9.668,9.693,9.552,9.552,9.552,9.577,9.602,9.625,9.637,9.506,9.506,9.506,9.519,9.532,9.544,9.556,9.441,9.441,9.441,9.454
20150114,0,10,10.01,7.969,7.969,7.969,8.346,8.605,9.464,10.081,9.772,9.772,9.772,10.168,10.495,10.548,10.595,10.115,10.115,10.115,10.176,10.23,10.271,10.307,9.975,9.975,9.975,10.018,10.058,10.095,10.13,9.875,9.875,9.875,9.908,9.938,9.967,9.994,9.792,9.792,9.792,9.821,9.849,9.875,9.9,9.733,9.733,9.733,9.759,9.784,9.808,9.831,9.683,9.683,9.683,9.707,9.73,9.753,9.764,9.629,9.629,9.629,9.643,9.655,9.668,9.679,9.561,9.561,9.561,9.574,9.587
20150115,0,20.378,14.455,14.455,14.455,15.467,16.106,16.548,16.478,14.986,14.986,14.986,15.072,15.144,15.205,15.034,14.083,14.083,14.083,13.999,13.924,13.855,13.812,13.252,13.252,13.252,13.237,13.224,13.211,13.2,12.804,12.804,12.804,12.806,12.808,12.818,12.828,12.533,12.533,12.533,12.549,12.565,12.579,12.593,12.355,12.355,12.355,12.372,12.389,12.406,12.421,12.216,12.216,12.216,12.234,12.251,12.268,12.284,12.113,12.113,12.113,12.13,12.148,12.153,12.158,11.996,11.996,11.996,12.003,12.01,12.017
20150116,0,12.958,12.958,12.958,15.561,16.931,17.785,18.37,16.216,16.216,16.216,16.121,16.041,15.974,15.915,14.852,14.852,14.852,14.766,14.689,14.619,14.555,13.879,13.879,13.879,13.817,13.759,13.705,13.655,13.192,13.192,13.192,13.163,13.135,13.141,13.146,12.83,12.83,12.83,12.843,12.855,12.867,12.878,12.624,12.624,12.624,12.64,12.654,12.668,12.682,12.465,12.465,12.465,12.482,12.498,12.513,12.527,12.347,12.347,12.347,12.364,12.38,12.39,12.399,12.235,12.235,12.235,12.246,12.257,12.268,12.278
