date,EUR2M Curncy,EUR Curncy,EURUSDH2M BGN Curncy,EURUSDV2M BGN Curncy
1/1/2015,6.69,1.2104,8.229,9.2625
1/2/2015,6.59,1.2002,8.2187,9.2725
1/5/2015,6.7,1.1933,8.3452,9.5275
1/6/2015,6.3,1.189,8.1125,9.4225
1/7/2015,6.27,1.1839,8.1298,9.87
1/8/2015,6.03,1.1793,8.1329,9.7975
1/9/2015,6.1,1.1842,8.1682,9.4
1/12/2015,6.36,1.1834,8.1697,9.4175
1/13/2015,6.52,1.1773,8.2115,9.625
1/14/2015,6.35,1.1789,8.2516,9.7525
1/15/2015,6.72,1.1633,8.4477,12.1475
1/16/2015,7.01,1.1567,8.6847,12.38
1/19/2015,7.2,1.1606,8.7148,11.59
1/20/2015,6.51,1.155,8.7072,11.76
1/21/2015,6.14,1.161,8.6833,11.79
1/22/2015,5.44,1.1366,9.0939,11.215
1/23/2015,5.24,1.1204,9.574,12.17
1/26/2015,5.3,1.1238,9.8195,12.1125
1/27/2015,5.6,1.1381,10.0731,12.22
1/28/2015,5.88,1.1287,10.1493,12.02
1/29/2015,5.77,1.132,10.212,11.63
1/30/2015,6.1,1.1291,10.2797,11.6775
2/2/2015,6.3,1.1341,10.3145,11.5175
2/3/2015,6.61,1.1481,10.3886,11.1575
2/4/2015,6.57,1.1345,10.4457,11.4175
2/5/2015,6.85,1.1477,10.5955,11.3075
2/6/2015,6.88,1.1316,10.6895,11.2375
2/9/2015,7.52,1.1325,10.7395,11.935
2/10/2015,7.56,1.1321,10.6715,11.77
2/11/2015,7.69,1.1336,10.6938,11.645
2/12/2015,7.51,1.1403,10.7225,11.1875
2/13/2015,7.45,1.1394,10.6671,10.62
2/16/2015,7.77,1.1355,10.3922,10.505
2/17/2015,7.9,1.1411,10.4364,10.5375
2/18/2015,7.88,1.1397,10.5159,10.495
2/19/2015,7.77,1.1368,10.5903,10.33
2/20/2015,8.53,1.1381,10.7591,10.425
2/23/2015,8.26,1.1335,10.8115,9.985
2/24/2015,7.68,1.134,10.8522,9.555
2/25/2015,7.8,1.1361,10.8813,8.32
2/26/2015,8.3,1.1198,10.9675,9.1
2/27/2015,8.23,1.1196,10.9962,9.28
3/2/2015,7.92,1.1184,11.0354,9.3575
3/3/2015,8.01,1.1176,11.082,9.4575
3/4/2015,8.08,1.1078,11.101,9.87
3/5/2015,8.57,1.103,11.0204,9.865
3/6/2015,8.56,1.0844,11.2256,10.045
3/9/2015,8.28,1.0852,11.211,10.0175
3/10/2015,8.27,1.0698,11.2942,11.33
3/11/2015,7.71,1.0547,11.4503,12.2125
3/12/2015,7.55,1.0635,11.5811,11.9125
3/13/2015,7.78,1.0496,11.7724,12.345
3/16/2015,7.82,1.0568,11.7801,12.0875
3/17/2015,7.95,1.0597,11.6727,11.9575
3/18/2015,8.09,1.0864,12.0629,11.3425
3/19/2015,8.89,1.066,12.564,12.025
3/20/2015,8.95,1.0821,12.7104,11.74
3/23/2015,8.85,1.0946,12.8742,12.17
3/24/2015,8.86,1.0924,12.6894,11.595
3/25/2015,8.85,1.097,12.3616,10.93
3/26/2015,8.57,1.0884,12.3216,11.4875
3/27/2015,8.61,1.0889,12.2115,11.6425
3/30/2015,8.7,1.0833,12.1837,12.1375
3/31/2015,8.68,1.0731,12.1944,12.135
4/1/2015,8.78,1.0763,12.2491,11.8675
4/2/2015,8.55,1.088,12.2639,11.7375
4/3/2015,8.61,1.0969,12.3264,11.105
4/6/2015,8.42,1.0922,12.3327,10.8075
4/7/2015,8.07,1.0814,12.2883,11.12
4/8/2015,8.08,1.0781,12.2578,10.665
4/9/2015,8.37,1.0659,12.2791,11.1125
4/10/2015,8.18,1.0604,12.2995,11.465
4/13/2015,8.25,1.0567,12.3616,11.76
4/14/2015,8.53,1.0655,12.4636,11.47
4/15/2015,8.74,1.0684,12.6893,11.23
4/16/2015,9.26,1.0761,12.8672,11.985
4/17/2015,9.19,1.0806,13.014,11.9675
4/20/2015,8.86,1.0738,13.0151,12.315
4/21/2015,8.56,1.0736,13.0293,12.43
4/22/2015,8.38,1.0725,12.9309,12.025
4/23/2015,8.65,1.0824,13.0183,11.96
4/24/2015,8.7,1.0873,13.1625,11.94
4/27/2015,8.45,1.0891,13.2207,11.935
4/28/2015,8.5,1.0981,13.1968,11.2
4/29/2015,8.97,1.1128,13.3665,11.2325
4/30/2015,9.02,1.1224,13.6852,11.675
5/1/2015,8.91,1.1199,13.796,12.1675
5/4/2015,8.86,1.1146,13.8265,12.325
5/5/2015,8.93,1.1185,13.9075,12.08
5/6/2015,9.07,1.1347,13.861,11.925
5/7/2015,9.66,1.1267,13.9019,12.005
5/8/2015,9.33,1.1199,13.9412,10.99
5/11/2015,9.08,1.1155,13.8416,11.195
5/12/2015,8.85,1.1213,13.7378,10.965
5/13/2015,8.79,1.1354,13.6885,10.205
5/14/2015,9.18,1.141,13.6846,10.6825
5/15/2015,9.13,1.1451,13.7897,10.67
5/18/2015,8.98,1.1315,13.4,10.935
5/19/2015,9,1.115,13.2382,11.815
5/20/2015,8.9,1.1094,13.1905,11.6375
5/21/2015,9.04,1.1112,13.039,11.3925
5/22/2015,9.27,1.1013,13.1496,11.8825
5/25/2015,9.1,1.0978,13.1278,12.27
5/26/2015,9.47,1.0873,13.0532,12.4125
5/27/2015,9.65,1.0904,13.0352,11.8175
5/28/2015,9.38,1.0949,13.0909,11.8775
5/29/2015,9.35,1.0986,13.1018,11.595
6/1/2015,9.03,1.0927,13.1343,12.15
6/2/2015,8.73,1.1151,13.2607,11.9025
6/3/2015,8.84,1.1275,13.1605,11.6175
6/4/2015,9.22,1.1238,13.2373,11.9025
6/5/2015,9.04,1.1114,13.68,12.2425
6/8/2015,8.85,1.1291,13.7266,12.3825
6/9/2015,8.86,1.1283,13.7659,12.6175
